217.69.133.29 - - [01/Oct/2015:04:16:32 -0700] "GET /mauritius.html HTTP/1.1" 200 5701 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.saveaslave.com"
217.69.133.28 - - [01/Oct/2015:04:18:54 -0700] "GET /slovakia.html HTTP/1.1" 200 5691 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.saveaslave.com"
180.76.15.160 - - [01/Oct/2015:04:28:48 -0700] "GET /countries/honduras.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.saveaslave.com"
220.181.108.76 - - [01/Oct/2015:05:24:20 -0700] "GET /portugal.html HTTP/1.1" 200 5692 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.saveaslave.com"
88.249.243.205 - - [01/Oct/2015:05:30:50 -0700] "GET /blog HTTP/1.1" 404 89 "http://SAVEASLAVE.COM/blog" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:7.0.1) Gecko/20100101 Firefox/7.0.1" "saveaslave.com"
217.69.133.30 - - [01/Oct/2015:05:34:17 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.saveaslave.com"
217.69.133.31 - - [01/Oct/2015:05:43:51 -0700] "GET /suriname.html HTTP/1.1" 200 5695 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:49 -0700] "GET / HTTP/1.1" 200 1309 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:51 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:54 -0700] "GET /wordpress/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:54 -0700] "GET /wp-admin/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:55 -0700] "GET /section/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:56 -0700] "GET /cms/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:57 -0700] "GET /site/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
116.100.126.209 - - [01/Oct/2015:06:31:59 -0700] "GET /wp/wp-login.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "saveaslave.com"
117.220.196.186 - - [01/Oct/2015:06:32:18 -0700] "GET /wp-login/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.saveaslave.com"
